,Keyword,Campaign ID,Campaign,Ad Group ID,Ad Group,Impressions,Clicks,Conversions,Spend,CTR,Avg CPC,Conv Rate,CPA,Health Score,Status,Category,Recommended Action,Priority,Total Spend,Total Conversions,Total Clicks,Last Updated
51,amarres para enamorar a una mujer,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,1,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679448+00:00
52,amarres para enamorar a una mujer,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
53,amarres para pareja,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,2,1,0,8692,50,8692,0,0,,,,,,,,,
54,amarres para que vuelva,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808881+00:00
55,amarres para que vuelva,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679459+00:00
56,amarres para tener sexo,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,1,0,0,0,0,0,0,0,,,,,,,,,
58,amarres poderosos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,8,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808883+00:00
59,amarres poderosos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,8,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679461+00:00
60,amarres que funcionen,23009021436,Pagina 5 - Ruben,183136455497,amarres de amor-jun,19,1,0,9121,5.26,9121,0,0,,,,,,,,,
61,amarres sexuales,23009021436,Pagina 5 - Ruben,183136454577,nuevo,1,0,0,0,0,0,0,0,,,,,,,,,
62,amarres y amor,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,3,0,0,0,0,0,0,0,,,,,,,,,
63,astrologo cerca de mi,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,5,0,0,0,0,0,0,0,,,,,,,,,
65,brujeria amarres de amor,23009021436,Pagina 5 - Ruben,183136454097,gen1,1,1,0,12005,100,12005,0,0,,,,,,,,,
68,brujeria blanca,23009021436,Pagina 5 - Ruben,183136454377,gpt1,3,0,0,0,0,0,0,0,,,,,,,,,
71,brujeria de amor,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,32,2,0,22303,6.25,11151.5,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808892+00:00
72,brujeria de amor,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,32,2,0,22303,6.25,11151.5,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679474+00:00
73,brujeria de amor,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,33,0,0,0,0,0,0,0,,,,,,,,,
74,brujeria de magia negra,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,22,2,0,23722,9.09,11861,0,0,,,,,,,,,
75,brujeria fuerte,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,1,0,0,0,0,0,0,0,,,,,,,,,
76,brujeria hechiceria,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,37,4,0,46493,10.81,11623.25,0,0,,,,,,,,,
77,brujeria hechizos,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,1,0,0,0,0,0,0,0,,,,,,,,,
78,brujeria magia,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,71,5,0,49683,7.04,9936.6,0,0,,,,,,,,,
79,brujeria magia negra,23009021436,Pagina 5 - Ruben,183136455537,magia para enamorar,27,0,0,0,0,0,0,0,,,,,,,,,
80,brujeria negra,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,9,1,0,21023,11.11,21023,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808896+00:00
81,brujeria negra,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,9,1,0,21023,11.11,21023,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679478+00:00
