,Campaign,Keyword,Health Score,Status,Category,Recommended Action,Priority,Total Spend,Total Conversions,Total Clicks,Conv Rate Score,CPA Score,CTR Score,Quality Score,Last Updated
70,12039330140,amarres de amor gratis,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
71,12039330140,amarres de amor fuerte,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
72,12039330140,amarres de amor eterno,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
73,12039330140,amarres de amor en linea,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
74,12039330140,amarres de amor efectivos y rapidos y sencillos,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
75,12039330140,amarres de amor efectivos,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
76,12039330140,amarres de amor economicos,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
77,12039330140,amarres de amor consulta gratis,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
78,12039330140,amarres de amor brujos,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
79,12039330140,amarres de amor 24 horas,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
80,12039330140,amarres de amor 100 efectivos,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
81,12039330140,amarres de amor,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
82,12039330140,amarres cubanos,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
83,12039330140,amarres amorosos,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
84,12039330140,amarre para que vuelva conmigo,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
85,12039330140,amarre para que regrese,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
86,12039330140,amarre para que mi ex vuelva conmigo,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
87,12039330140,amarre para que me busque,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
88,12039330140,amarre para el amor,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
89,12039330140,amarre magia blanca,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
90,12039330140,amarre eterno,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
91,12039330140,amarre de amor para que me busque,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
92,12039330140,amarre con ropa interior,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
93,12039330140,alicia collado vidente,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
94,12039330140,Curanderos sanadores,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
95,12039330140,Curanderos espirituales,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
96,12039330140,Curanderos de limpias,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
97,12039330140,Curanderos chamanes,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
98,12039330140,Brujos amarres,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
99,12039330140,Amarres efectivos,🔴 0.0,Critical,critical,decrease_bid,1,$0.00,0,0,0.00,0.00,0.00,0.00,2025-10-10T18:47:07
